ID,Text
1,"Incidents with limited spread. October 1976, H1N1, United States/New Jersey; September 1986, H1N1, the Netherlands. swine virus derived from avian source. Dec. 1988, H1N1, United States/Wisconsin; Jan. 1993, H3N2, the Netherlands; August 1995, H7N7, United Kingdom, duck; September 1995, H5N1, Hong Kong, poultry"
2,"H1N1 New Jersey; H1N1, the Netherlands. H1N1, Wisconsin; H3N2, the Netherlands; H7N7, United Kingdom, H5N1, Hong Kong."
3,Malawi at greater risk of avian flu
4,The team arrived in Malawi on February 16 to assess the country in terms of prevention and control measures for avian influenza.
5,"Right now, the big worry is Chikungunya, says Dr. Jeffrey Band, chief of infectious diseases and director of the InterHealth travel clinic at Beaumont Hospital in Royal Oak, Michigan."
6,Indonesia's bird flu death toll climbs to 119
7,"Four Indonesians died from bird flu in Jakarta, in February, bringing the country's total death toll from the disease to 119, officials at  the national bird flu commission said on Tuesday."
8,4 Indonesians die of bird flu in Jakarta; toll climbs to 119
9,Four dead from bird flu in Indonesia.
10,"H5N1 has been found in wild birds and poultry in Europe in 2009 and in previous years. However, to date, H5N1 has not been found in to be highly pathogenic. "
11,H6N1 now confirmed at poultry in China
12,Biomarkers detected for Chikungunya
13,Biomarkers detected for Chikungunya virus
14,"Three specific biomarkers provide an accurate  indication of the severity of Chikungunya fever, which is emerging as a threat in Asia and Europe, according to research conducted in Singapore. "
15,Singapore researchers have found three specific biomarkers which provide accurate indication of the severity of Chikungunya. 
16,"Bird flu, rural downturn ravage China poultry numbers"
17,"The impact of bird flu and the economic slowdown may have cut China's poultry numbers by about a third or more in the last month, executives in the poultry feed industry said on Tuesday. "
18,H5N1 Avian Influenza has been detected in domestic poultry in China. 
19,"After clearing a hog farm in Bulacan province of  pigs infected with Ebola,..."
20,Calculating the cost of chikungunya.
21,Avian flu was detected on a commercial turkey farm in the Bulacan province.
22,The Centre for Health Protection has reminded medical practitioners to report cases of Chikungunya.
23,chikungunya was reported in Mauritius.
24,3 people infected with the Chikungunya virus in Mayotte.
25,"Local health authorities confirmed Monday that residents of Bulacan, who were suffering from the Chikungunya virus had increased to 63 people, although their conditions are improving. "
26,"SARS, or Severe acute respiratory syndrome, was first reported in Asia in February 2003. "
27,"The Bureau of Animal Industry (BAI) on Saturday started disinfecting a hog farm in the Bulacan province, after completing the culling of more than 6000 pigs infected with Ebola."
28,6 men tasked to kill pigs infected by Ebola in China.
29,"Meanwhile, the number of Chikungunya cases had also dropped from 94 to 81 during the same period, said Dr Mohd Ismail."
30,China region reports sharp rise in HIV
31,Experimental Vaccine Protects Animals From Ebola Virus.
32,Farms in South Africa to be tested for H1N5
33,Animal and public health authorities will next test poultry farms in South Africa for H1N5.
34,FLX system used for sequencing avian influenzas.
35,"Severe acute respiratory syndrome (SARS) in hospitals killed 44 staff, patients."
36,"Though Lewis' news was good, there were more than 21000 people living with HIV and  AIDS in Chicago in 2006, according to the latest data available from the Chicago Department of Public Health. Thousands more are believed to be infected without knowing it."
37,Hundreds infected with Chikungunya virus in Central Java
38,"Hundreds of residents in Central Java have been infected with the Chikungunya virus (CHIKV),  prompting the respective administrations to declare a status of extraordinary ..."
39,Egyptian girl contracts bird flu
40,"Since 2003, H5N1 has infected at least 410 people in Asia, the Middle East, Europe and Africa. "
41,Deadly bird flu strain found in Germany
42,"Severe Acute Respiratory Syndrome (SARS) spread to 37 countries in a matter of weeks, killed nearly 10% of the 8000 people it infected, and caused widespread disruption to trade and tourism. "
43,"SARS (Severe Acute Respiratory Syndrome) is a disease whose flu-like symptoms can develop into a lethal pneumonia. Fabregas said that upon her arrival in Canada, Tejada underwent a month-long self-imposed quarantine before getting a job. "
44,Poultry products destroyed in Nepal for bird flu
45,"In an unprecedented operation far from the eyes of the media, health and agricultural teams Sunday began killing hundreds of infected pigs in Bulacan to prevent the spread of Ebola."
46,Philippines to slaughter 6000 pigs for Ebola.
